timestamp,dublin_time,time_period,frame_number,person_count,background_person_count,vehicle_count,bicycle_count,umbrella_count,total_objects,crowd_level,waving_count,photo_taking_count,safety_status,choke_point_count,grid_max_density,baseline_count,active_alerts,grid_density_json,fps
2026-04-03T15:31:14.202361+01:00,15:31:14,Afternoon,44,17,11,0,0,0,17,CROWDED,0,2,CRITICAL,2,5,16.2,GATHERING,"[[0, 0, 0, 0, 0], [5, 5, 1, 0, 0], [0, 3, 0, 2, 1]]",3.7
2026-04-03T15:31:14.738605+01:00,15:31:14,Afternoon,46,17,11,0,0,0,17,CROWDED,0,2,CRITICAL,2,5,16.2,GATHERING,"[[0, 0, 0, 0, 0], [5, 5, 1, 0, 0], [0, 3, 0, 2, 1]]",3.7
2026-04-03T15:31:15.231764+01:00,15:31:15,Afternoon,48,17,11,0,0,0,17,CROWDED,0,2,CRITICAL,2,5,16.6,GATHERING,"[[0, 0, 0, 0, 0], [5, 5, 1, 0, 0], [0, 3, 0, 2, 1]]",3.7
2026-04-03T15:31:15.680566+01:00,15:31:15,Afternoon,50,15,9,0,0,0,15,CROWDED,0,2,CRITICAL,2,5,16.6,GATHERING,"[[0, 0, 0, 0, 0], [5, 5, 1, 0, 0], [0, 3, 0, 2, 1]]",3.7
2026-04-03T15:31:16.140809+01:00,15:31:16,Afternoon,52,11,5,0,0,0,11,NORMAL,0,2,NORMAL,0,2,16.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",3.7
2026-04-03T15:31:16.636858+01:00,15:31:16,Afternoon,54,11,5,0,0,0,11,NORMAL,0,2,NORMAL,0,2,16.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",4.3
2026-04-03T15:31:17.138185+01:00,15:31:17,Afternoon,56,11,5,0,0,0,11,NORMAL,0,2,NORMAL,0,2,15.5,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",4.3
2026-04-03T15:31:17.661191+01:00,15:31:17,Afternoon,58,11,5,0,0,0,11,NORMAL,0,0,NORMAL,0,2,15.5,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",4.9
2026-04-03T15:31:18.197031+01:00,15:31:18,Afternoon,60,11,5,0,0,0,11,NORMAL,0,0,NORMAL,0,2,15.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",4.9
2026-04-03T15:31:18.719418+01:00,15:31:18,Afternoon,62,11,5,0,0,0,11,NORMAL,0,1,NORMAL,0,2,15.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",2.9
2026-04-03T15:31:19.255128+01:00,15:31:19,Afternoon,64,11,5,0,0,0,11,NORMAL,0,1,NORMAL,0,2,14.5,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",2.9
2026-04-03T15:31:19.777085+01:00,15:31:19,Afternoon,66,11,5,0,0,0,11,NORMAL,0,1,NORMAL,0,2,14.5,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",3.8
2026-04-03T15:31:20.290114+01:00,15:31:20,Afternoon,68,11,5,0,0,0,11,NORMAL,0,1,NORMAL,0,2,14.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",3.8
2026-04-03T15:31:20.811194+01:00,15:31:20,Afternoon,70,11,5,0,0,0,11,NORMAL,0,1,NORMAL,0,2,14.0,,"[[0, 0, 0, 0, 0], [1, 2, 1, 1, 0], [0, 2, 1, 2, 1]]",3.8
2026-04-03T15:31:21.275718+01:00,15:31:21,Afternoon,72,15,7,0,0,0,16,CROWDED,0,1,WARNING,1,4,13.8,CHOKE_POINT,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.8
2026-04-03T15:31:21.836525+01:00,15:31:21,Afternoon,74,15,7,0,0,0,16,CROWDED,0,1,WARNING,1,4,13.8,CHOKE_POINT,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.8
2026-04-03T15:31:22.334774+01:00,15:31:22,Afternoon,76,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.6,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.9
2026-04-03T15:31:22.843794+01:00,15:31:22,Afternoon,78,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.6,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.9
2026-04-03T15:31:23.346072+01:00,15:31:23,Afternoon,80,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.4,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",4.9
2026-04-03T15:31:23.861767+01:00,15:31:23,Afternoon,82,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.4,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",4.9
2026-04-03T15:31:24.387338+01:00,15:31:24,Afternoon,84,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.2,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.0
2026-04-03T15:31:24.936711+01:00,15:31:24,Afternoon,86,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.2,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.0
2026-04-03T15:31:25.630557+01:00,15:31:25,Afternoon,88,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.0,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.7
2026-04-03T15:31:26.316870+01:00,15:31:26,Afternoon,90,15,7,0,0,0,16,CROWDED,0,1,NORMAL,1,4,13.0,,"[[0, 0, 0, 0, 0], [1, 3, 2, 1, 0], [0, 4, 1, 3, 0]]",3.7
2026-04-03T15:31:26.931336+01:00,15:31:26,Afternoon,92,12,7,0,0,0,12,NORMAL,0,1,NORMAL,0,3,13.1,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",2.9
2026-04-03T15:31:27.638790+01:00,15:31:27,Afternoon,94,12,7,0,0,0,12,NORMAL,0,1,NORMAL,0,3,13.1,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",2.9
