timestamp,event,frame_idx,track_id,confidence,x1,y1,x2,y2
2026-04-01T15:39:22,photo_taking,14,1,1.0,516,337,548,444
2026-04-01T15:42:43,photo_taking,944,77,1.0,162,427,204,480
2026-04-01T15:44:25,photo_taking,1302,128,1.0,517,353,555,465
2026-04-01T15:44:25,photo_taking,1302,129,1.0,254,316,289,415
2026-04-01T15:52:55,photo_taking,268,48,1.0,147,334,180,433
2026-04-01T15:53:01,photo_taking,292,54,1.0,123,288,160,402
2026-04-01T15:53:01,photo_taking,292,57,1.0,291,383,338,471
2026-04-01T15:54:20,photo_taking,618,110,1.0,484,311,514,403
2026-04-01T16:11:58,photo_taking,14,2,1.0,305,384,347,479
2026-04-01T16:11:58,photo_taking,14,7,1.0,336,320,371,419
2026-04-01T16:12:49,photo_taking,236,2,0.7667,302,384,344,480
2026-04-01T16:12:51,photo_taking,244,35,1.0,219,312,252,415
2026-04-01T16:14:16,photo_taking,518,80,1.0,648,398,696,480
2026-04-02T12:30:07,photo_taking,114,20,1.0,185,330,232,431
